Ente;Misura;Tipo;Annualit… precedenti;2007;2008;2009;2010;2011;2012;2013
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER COMPETENZA;0;0;764210;837950;895170;0;878620;0
Provincia di AREZZO;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER ANNO SOLARE;0;0;0;644540;904480;925920;901010;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;PROGRAMMATO;0;1629212;6761614;2832180;1996553;1900000;0;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;RICHIESTO;0;0;13381370,27;12727282,36;10759376,14;22293694,37;18139635,53;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER COMPETENZA;0;0;2256829,14;2604728,19;2942798,62;777095,13;1274459,24;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER ANNO SOLARE;0;0;335048,67;2354853,27;2666993,75;2848145;1650869,63;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO ANTICIPO;0;0;11450;461936,04;168370,81;695971,89;180873,25;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO SALDO;0;0;1791172,92;2064814,43;82847;154225,64;722771,29;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;IN ISTRUTTORIA;0;0;22376,52;7011;150000;642088,88;125699,12;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER COMPETENZA;0;0;1780246,4;2506612,97;101217,81;285608,65;2785151,2;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER ANNO SOLARE;0;0;0;1895363,21;1231224,45;1535509,72;2796739,65;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER COMPETENZA;0;0;1780246,4;2506612,97;101217,81;285608,65;2688378,63;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER ANNO SOLARE;0;0;0;1889863,21;1113220,45;1268450,2;3090530,6;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;PAGATO PER COMPETENZA;0;0;1759958,15;2504905,96;81671,32;285608,66;2588332,44;0
Provincia di AREZZO;(PSR121) Ammodernamento delle aziende;PAGATO PER ANNO SOLARE;0;0;0;1876842,43;1087567,93;1241015,1;3015051,07;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PROGRAMMATO;0;550375;662068;745323;831264;319070;0;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;RICHIESTO;0;0;1285554,817;1201203,65;1433645,61;5498983,1;0;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER COMPETENZA;0;0;212652,95;162734,43;354888,61;15606,04;58927,51;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;84499,08;157153,87;229660,84;258304,21;75191,54;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO ANTICIPO;0;0;7592,53;0;0;0;10223,26;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO SALDO;0;0;182018,39;125387,23;86113,3;80163,76;45979,64;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;IN ISTRUTTORIA;0;0;0;0;0;80163,76;0;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER COMPETENZA;0;0;189610,92;125387,23;86113,3;0;251974,47;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;189610,92;95659,23;115841,3;251974,47;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER COMPETENZA;0;0;189610,92;125387,23;86113,3;0;251974,47;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;163093,11;89417,45;148600,89;251974,47;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER COMPETENZA;0;0;189610,93;125387,23;86113,32;0;241751,24;0
Provincia di AREZZO;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER ANNO SOLARE;0;0;0;163093,11;89417,46;148600,91;241751,24;0
Provincia di AREZZO;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;PROGRAMMATO;0;0;25000;0;0;0;0;0
Provincia di AREZZO;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PROGRAMMATO;0;25600;19200;12800;6400;0;0;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PROGRAMMATO;0;2797;3021;59200;42040;29002;0;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;RICHIESTO;0;0;33622,48;0;0;213413,668;306942,692;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;ASSEGNATO PER COMPETENZA;0;0;0;0;0;0;57353;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;0;57353;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PAGATO PER COMPETENZA;0;0;549629,5;566022,16;24880,23;0;534145,82;0
Provincia di AREZZO;(PSR123) Aumento del valore aggiunto della produzione agricola e forestale primaria;PAGATO PER ANNO SOLARE;0;0;0;0;727962,16;412569,73;534145,82;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER COMPETENZA;0;0;0;0;0;6146588;0;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;6146588;0;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;1604000;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;1604000;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;1604000;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;1604000;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;PAGATO PER COMPETENZA;0;0;0;0;0;0;2234602,5;0
Provincia di AREZZO;(PSR125) Miglioramento e sviluppo delle infrastrutture;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;2234602,5;0
Provincia di AREZZO;(PSR1251) Miglioramento e sviluppo delle infrastrutture;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di AREZZO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;PROGRAMMATO;0;0;0;100000;100000;0;0;0
Provincia di AREZZO;(PSR1252) Miglioramento e sviluppo delle infrastrutture;RICHIESTO;0;0;0;0;0;407886;0;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;PROGRAMMATO;0;0;3548;8751;16410;26751;0;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;RICHIESTO;0;0;3548,3;2625;22397,41;12840,34;11603,87;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER COMPETENZA;0;0;3065,3;2625;9888,07;0;4238,11;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER ANNO SOLARE;0;0;3065,3;2625;4158,6;5729,47;4238,11;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;DOMANDE PAGAMENTO SALDO;0;0;1384,68;0;3170,37;2287,21;3731,2;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;DOMANDE REVOCATE;0;0;199,96;0;0;0;0;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;LIQUIDATO PER COMPETENZA;0;0;3205,98;1571,92;3170,37;2287,21;4777,72;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;LIQUIDATO PER ANNO SOLARE;0;0;0;1035,3;3742,6;5457,58;4777,72;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;AUTORIZZATO PER COMPETENZA;0;0;3205,98;1571,92;3170,37;2287,21;4777,72;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;AUTORIZZATO PER ANNO SOLARE;0;0;0;1035,3;3302,3;3323,81;7351,79;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;PAGATO PER COMPETENZA;0;0;3205,99;1571,91;3170,37;2287,22;4777,72;0
Provincia di AREZZO;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;PAGATO PER ANNO SOLARE;0;0;0;1035,3;3302,3;3323,81;7351,8;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;DOMANDE PAGAMENTO SALDO;0;0;0;0;0;0;18000;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;LIQUIDATO PER COMPETENZA;0;0;0;0;0;81443,53;132855,36;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;81443,53;132855,36;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;197650,18;0;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;197650,18;0;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;PAGATO PER COMPETENZA;0;0;0;0;0;193150,21;4500;0
Provincia di AREZZO;(PSR144) Aziende agricole in ristrutturazione per riforma OCM;PAGATO PER ANNO SOLARE;0;0;0;0;0;193150,21;4500;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;PROGRAMMATO;0;21616;345040;418213;619564;731433;0;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;RICHIESTO;0;0;0;0;33360,18;0;0;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;ASSEGNATO PER COMPETENZA;0;0;0;0;25432,87;0;0;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;25432,87;0;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;IN ISTRUTTORIA;0;0;0;0;25432,87;0;0;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;520838,45;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;520838,45;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;520838,45;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;520838,45;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;PAGATO PER COMPETENZA;0;0;0;0;0;0;520838,56;0
Provincia di AREZZO;(PSR211) Indennit… per le zone montane;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;520838,56;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;PROGRAMMATO;0;0;8000;7201;8000;47201;0;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;LIQUIDATO PER COMPETENZA;0;0;0;0;0;0;6393,77;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;0;6393,77;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;AUTORIZZATO PER COMPETENZA;0;0;0;0;0;0;6393,77;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;6393,77;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;PAGATO PER COMPETENZA;0;0;0;0;0;0;6393,78;0
Provincia di AREZZO;(PSR212) Indennit… per svantaggi naturali;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;6393,78;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;PROGRAMMATO;0;225013;1289197;1809628;2655168;3250693;0;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;RICHIESTO;0;315045,82;2398943,67;777941,44;4344384,84;0;0;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE PAGAMENTO RINNOVI;0;0;235544,39;1291677,16;1436574,48;2513387,14;0;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER COMPETENZA;0;230379,25;1145000;188128,53;1688017;0;8842,85;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER ANNO SOLARE;0;0;1375379,25;111036,77;786059,54;979049,22;8842,85;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE REVOCATE;0;14342,22;196678,05;132660,2;0;0;0;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;IN ISTRUTTORIA;0;0;0;0;1394760,34;2053376,2;8842,85;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;RIDUZIONI DA CONTROLLI SIGC;0;35835,56;79054,53;129476,43;140117,23;32029,71;0;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER COMPETENZA;0;180605,66;1109401,82;1610076,41;1664169,68;463985,45;2548899,65;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER ANNO SOLARE;0;0;156826,82;1060140,3;1427297,38;1335416,58;3597457,59;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER COMPETENZA;0;180605,66;1109401,82;1285156,65;1660920,97;427981,23;2720266,52;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER ANNO SOLARE;0;0;156826,82;1060140,3;1119871,34;1317922,86;3729571,53;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER COMPETENZA;0;180118,2;1097955,7;1269563,56;1612515,63;427579,53;2715678,05;0
Provincia di AREZZO;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER ANNO SOLARE;0;0;92406,06;1112940,94;1119662,5;1198345,21;3780055,96;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PROGRAMMATO;0;143115;151577;151580;151580;151580;0;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;DOMANDE PAGAMENTO RINNOVI;0;42716,52;42716,52;42716,52;20097,63;0;0;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;IN ISTRUTTORIA;0;0;0;22618,89;0;0;0;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER COMPETENZA;0;42716,52;42716,52;20097,63;20097,63;20097,63;9766,26;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER ANNO SOLARE;0;1159,2;41557,32;62814,15;20097,63;20097,63;9766,26;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER COMPETENZA;0;42716,52;42716,52;20097,63;20097,63;20097,63;9766,26;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER ANNO SOLARE;0;1159,2;41557,32;62814,15;20097,63;20097,63;9766,26;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER COMPETENZA;0;10770,27;25697,72;20097,63;0;0;0;0
Provincia di AREZZO;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER ANNO SOLARE;0;1159,2;41557,32;62814,15;-34098,69;-14866,36;0;0
Provincia di AREZZO;(PSR215) Pagamenti per il benessere degli animali;PROGRAMMATO;0;0;0;0;0;36907;0;0
Provincia di AREZZO;(PSR216) Sostegno agli interventi non produttivi - connessi mis. 214 e natura 2000;PROGRAMMATO;0;0;0;0;0;0;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PROGRAMMATO;0;0;0;13788;75335;21888;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;RICHIESTO;0;0;0;27624,24;20950,07;75502,06;28614,64;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;ASSEGNATO PER COMPETENZA;0;0;0;0;6441,13;22480,5;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;0;0;0;28921,63;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;LIQUIDATO PER COMPETENZA;0;0;0;0;6441,13;0;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;0;0;6441,13;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;AUTORIZZATO PER COMPETENZA;0;0;0;0;6441,13;0;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;0;0;6441,13;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PAGATO PER COMPETENZA;0;0;0;0;6441,14;0;0;0
Provincia di AREZZO;(PSR2211) Primo imboschimento di terreni agricoli - parte privata;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;6441,14;0
Provincia di AREZZO;(PSR2212) Primo imboschimento di terreni agricoli - parte pubblica;PROGRAMMATO;0;0;0;0;14094;0;0;0
Provincia di AREZZO;(PSR2212) Primo imboschimento di terreni agricoli - parte pubblica;RICHIESTO;0;0;0;0;14093,69;0;0;0
Provincia di AREZZO;(PSR2212) Primo imboschimento di terreni agricoli - parte pubblica;ASSEGNATO PER COMPETENZA;0;0;0;0;11900;0;0;0
Provincia di AREZZO;(PSR2212) Primo imboschimento di terreni agricoli - parte pubblica;ASSEGNATO PER ANNO SOLARE;0;0;0;0;11900;0;0;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PROGRAMMATO;0;62229;61564;44459;38854;33230;0;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;DOMANDE PAGAMENTO RINNOVI;0;66434,02;61564,14;45090,82;25936,59;0;0;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;IN ISTRUTTORIA;0;7463,41;2786,32;3205,78;25936,59;0;0;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;RIDUZIONI DA CONTROLLI SIGC;0;0;40,59;158,73;0;0;0;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER COMPETENZA;0;60137,63;58737,23;41726,31;31400,07;0;24063,8;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER ANNO SOLARE;0;0;50663,38;61192,77;43815,77;36329,32;24063,8;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER COMPETENZA;0;60137,63;58305,48;39420,39;31300,06;0;22409,15;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER ANNO SOLARE;0;0;50663,38;58426,98;43843,89;36229,31;22409,15;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER COMPETENZA;67440,3;56655,49;52800,59;39402,86;31282,54;0;22292,59;0
Provincia di AREZZO;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER ANNO SOLARE;0;84308,26;50663,36;39316,51;43843,83;29519,9;22222,51;0
Provincia di AREZZO;(PSR2080) Reg.(CE)2080/92 Forestazione;PROGRAMMATO;0;429959;408905;450048;450048;435931;0;0
